x	d
10	16990
13	17266.1984196863
20	18353.2753424841
25	17154.8410321848
34	17508.016556504
42	18592.1905807507
47	17778.2151515176
48	17182.7611422723
57	17614.6339459321
62	17446.0778804178
69	14881
77	15141.5034535324
87	12915
95	13954.3379377146
97	11035
102	11464.4257378958
112	12937.1358529718
122	9422
127	10691.351132825
136	10046.5424510731
137	10787.7824763675
141	10722.8428558314
150	10303.4292364581
151	11698.6050522652
153	11179.7302446237
156	7916
158	7934.32367637244
165	8312.97700332319
168	9438.89454879742
170	8123.37310235763
171	6557
179	7388.28553082156
184	5232
194	5977.9129987868
199	5592.73445258628
204	6557.41296566077
213	6684.87624599709
219	5229.73613757881
222	7064.45282539225
229	6395.99052410485
238	5960.63186783422
239	5944.29852412105
246	5277.20010478432
250	6143.05667196127
259	6120.98811657878
265	7530.17235267153
273	5981.18791465634
278	5395.34563499437
282	5317.83400014095
284	5299.61529619978
286	5246.98890871468
293	5291.4881737537
297	5620.20629632353
303	5818.07642354192
305	5619.16468399248
312	4104
316	3144
325	4094.49702639188
334	3272.04258822177
340	3864.53802715372
345	4005.4960332751
354	3245.06185865602
363	3333.14429715805
370	3165.45912903286
379	2277
386	4347.63485529806
390	2409.54571023698
393	3656.34147492104
397	2910.80409165741
403	2630.13355773964
411	2906.44305947105
415	2489.95797618975
424	2615.51615721668
430	2754.47980388938
434	2277.38836427031
442	3467.76857106666
448	4728.00363943994
453	2787.85612035418
460	3204.06441730899
467	1605
475	4020.95713384503
485	1095
491	649
500	1064.61401505649
502	292
512	1795.07697899823
515	1405.35186101317
518	1091.00215772839
527	633.614269701525
535	845.106758460856
537	1794.40902604256
538	396.071528525743
547	2109.76666587731
549	699.193096983248
552	894.074105236212
559	338.317876922552
562	452.631621982589
567	63
568	795.662013045051
578	Inf
584	1450.004065878
589	623.340292237374
595	1340.50296180321
599	682.576676577244
604	26
607	351.084958226752
613	185.632557379239
621	1855.16997015382
627	1744.97189978774
634	756.435896823129
637	224.813590225914
641	944.607046508747
649	145
656	1851.96919426845
661	825.529632735318
667	927.911236343766
675	465
676	1587.22461750341
683	905.98934147698
684	1134.76425865359
689	929.822847199425
693	1617.19148033876
702	3096.84987810098
703	1187.88672516206
711	869
721	2010.38660174196
731	1341
739	2878.63042730892
744	3141.36514811897
749	1931.15106519201
752	2204.13767474565
759	1897
763	3657.69193290845
773	3886.9117190132
781	2679
786	4526.22834229924
794	3622
797	4924.95463728096
802	5135.48677646412
812	4604
819	6437.25264752726
822	7368.60537839942
831	5929.34564401904
838	6439.02477378873
840	5888
843	7229
850	8940.77420319114
857	9412.1548319983
861	9405.8001504819
867	9890.12148709938
872	9298.65498604277
873	10025.6322050346
874	9934.56246470303
878	9243.02215908434
879	10127.5645044332
883	9201.54295799594
890	8927.35429146565
891	9944.68475985222
892	8652
899	11185.5200762545
906	10277.6176444366
907	12621.5909345802
908	10902.3490111191
910	11601.3890115665
916	10216
917	12453.5444799917
921	12006.1753980357
928	11967.4389907037
936	14508.98084222
943	11909.05341409
944	12758.3101262227
949	12152.4774479128
954	12219.57791031
958	13054.247486417
960	12478.0532106521
967	12144.7557272231
974	12262.8849183819
982	12812.0984836234
987	13503.2988358205
993	13039.1739325708
995	11958.9310469757
1000	13048.627715609
1008	12696.8341776979
1017	12455.167032154
1020	12475.2608847653
1023	12520.2094898183
1032	11970
1035	14788.8126930588
1044	14120.5203190048
1054	14031.8345172466
1057	15143.4153777731
1060	14200.6198758387
1061	13889
1062	16163.6962921142
1069	17303.8030065991
1071	16129.785715484
1080	17327.7728810904
1082	16042.5731271384
1084	17589.0725688351
1094	15906
